               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10703,            0.035434,            0.043475,             0.15482,             0.19627,             0.08589,            0.021968,            0.090342,            0.026787,            0.039157,            0.070769,           0.0032479,           0.0032479
                   1,            0.079558,            0.032447,            0.034544,             0.16676,             0.39827,             0.13794,            0.043952,            0.092611,            0.025655,             0.03219,            0.040744,           0.0065557,           0.0065557
                   2,            0.076937,            0.027117,             0.03075,              0.2268,             0.56501,             0.29911,            0.097965,            0.082093,            0.016676,            0.029065,            0.010693,           0.0098378,           0.0098378
                   3,            0.070877,            0.024927,            0.027647,             0.36318,             0.48634,             0.50593,             0.14319,            0.071252,             0.01589,            0.025439,            0.009884,            0.009884,            0.009884
                   4,            0.062049,            0.022437,            0.024807,             0.35908,             0.80978,             0.54599,               0.192,             0.06698,            0.015564,            0.021445,            0.009884,            0.009884,            0.009884
                   5,            0.056542,            0.020867,             0.02167,             0.59354,             0.82854,             0.78447,             0.28964,             0.05358,            0.013683,            0.019049,           0.0098453,           0.0098453,           0.0098453
                   6,            0.053419,            0.020485,            0.019795,             0.75676,             0.85316,             0.84159,             0.34508,            0.057741,            0.013479,            0.016438,           0.0098066,           0.0098066,           0.0098066
                   7,            0.051447,             0.01925,            0.017122,             0.82633,             0.91633,             0.93207,              0.5882,             0.04264,            0.011644,            0.013924,            0.009768,            0.009768,            0.009768
                   8,            0.048627,            0.018981,            0.015202,              0.8644,             0.93924,             0.94784,             0.57197,            0.046968,            0.011884,            0.011794,           0.0097293,           0.0097293,           0.0097293
                   9,             0.04744,            0.018754,            0.012917,             0.94625,             0.91932,             0.98657,             0.56757,            0.046168,            0.011404,             0.01027,           0.0096906,           0.0096906,           0.0096906
                  10,            0.045496,            0.018692,            0.011684,             0.92607,             0.93605,              0.9783,             0.54963,            0.042173,            0.011653,           0.0095055,            0.009652,            0.009652,            0.009652
                  11,            0.043284,            0.017328,            0.011472,             0.89952,             0.93822,             0.97315,             0.68675,            0.035727,            0.011076,           0.0089844,           0.0096133,           0.0096133,           0.0096133
                  12,            0.043278,            0.017458,            0.010252,             0.98109,             0.96459,             0.98636,             0.59126,            0.038886,            0.011198,           0.0080803,           0.0095746,           0.0095746,           0.0095746
                  13,            0.042078,            0.017777,            0.010182,             0.96563,             0.96836,              0.9906,             0.67115,            0.035216,            0.010547,           0.0077091,           0.0095359,           0.0095359,           0.0095359
                  14,             0.04273,             0.01691,           0.0097898,             0.91664,             0.97137,             0.97452,             0.71706,              0.0336,            0.010598,           0.0076477,           0.0094973,           0.0094973,           0.0094973
