                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                    nan,                    nan,                    nan,                0.00701,                0.02083,                0.00368,                0.00259,                    nan,                    nan,                    nan,                 0.0002,                 0.0002,                 0.0002
                      2,                    nan,                    nan,                    nan,                0.00397,                0.06944,                0.00343,                0.00229,                    nan,                    nan,                    nan,             0.00040931,             0.00040931,             0.00040931
                      3,                    nan,                    nan,                    nan,                0.00462,                0.03472,                0.00306,                0.00197,                    nan,                    nan,                    nan,             0.00061533,             0.00061533,             0.00061533
                      4,                    nan,                    nan,                    nan,                 0.0081,                0.03472,                 0.0033,                0.00212,                    nan,                    nan,                    nan,             0.00081807,             0.00081807,             0.00081807
                      5,                    nan,                    nan,                    nan,                0.00871,                0.02778,                0.00344,                0.00226,                    nan,                    nan,                    nan,              0.0010175,              0.0010175,              0.0010175
                      6,                    nan,                    nan,                    nan,                0.00951,                0.02083,                0.00381,                 0.0025,                    nan,                    nan,                    nan,              0.0012017,              0.0012017,              0.0012017
                      7,                    nan,                    nan,                    nan,                 0.0105,                0.02083,                 0.0039,                0.00242,                    nan,                    nan,                    nan,               0.001192,               0.001192,               0.001192
                      8,                    nan,                    nan,                    nan,                0.01163,                0.02083,                0.00407,                0.00266,                    nan,                    nan,                    nan,              0.0011823,              0.0011823,              0.0011823
                      9,                    nan,                    nan,                    nan,                0.01099,                0.02083,                0.00413,                0.00269,                    nan,                    nan,                    nan,              0.0011727,              0.0011727,              0.0011727
                     10,                    nan,                    nan,                    nan,                 0.0113,                0.02083,                0.00415,                0.00269,                    nan,                    nan,                    nan,               0.001163,               0.001163,               0.001163
                     11,                    nan,                    nan,                    nan,                0.01116,                0.02083,                0.00413,                0.00272,                    nan,                    nan,                    nan,              0.0011533,              0.0011533,              0.0011533
                     12,                    nan,                    nan,                    nan,                0.01108,                0.02083,                0.00397,                 0.0026,                    nan,                    nan,                    nan,              0.0011437,              0.0011437,              0.0011437
                     13,                    nan,                    nan,                    nan,                0.01098,                0.02083,                0.00416,                0.00273,                    nan,                    nan,                    nan,               0.001134,               0.001134,               0.001134
                     14,                    nan,                    nan,                    nan,                0.01257,                0.02778,                0.00404,                0.00263,                    nan,                    nan,                    nan,              0.0011243,              0.0011243,              0.0011243
                     15,                    nan,                    nan,                    nan,                0.01297,                0.02778,                0.00412,                0.00268,                    nan,                    nan,                    nan,              0.0011146,              0.0011146,              0.0011146
                     16,                    nan,                    nan,                    nan,                0.00992,                0.02083,                0.00411,                0.00271,                    nan,                    nan,                    nan,               0.001105,               0.001105,               0.001105
                     17,                    nan,                    nan,                    nan,                0.01584,                0.01389,                0.00405,                 0.0025,                    nan,                    nan,                    nan,              0.0010953,              0.0010953,              0.0010953
                     18,                    nan,                    nan,                    nan,                0.01061,                0.02083,                0.00415,                0.00273,                    nan,                    nan,                    nan,              0.0010856,              0.0010856,              0.0010856
                     19,                    nan,                    nan,                    nan,                0.01014,                0.02083,                0.00425,                0.00281,                    nan,                    nan,                    nan,               0.001076,               0.001076,               0.001076
                     20,                    nan,                    nan,                    nan,                0.01597,                0.01389,                0.00401,                0.00267,                    nan,                    nan,                    nan,              0.0010663,              0.0010663,              0.0010663
                     21,                    nan,                    nan,                    nan,                0.01256,                0.02778,                0.00395,                0.00258,                    nan,                    nan,                    nan,              0.0010566,              0.0010566,              0.0010566
                     22,                    nan,                    nan,                    nan,                0.01258,                0.02778,                0.00416,                0.00273,                    nan,                    nan,                    nan,               0.001047,               0.001047,               0.001047
                     23,                    nan,                    nan,                    nan,                0.01007,                0.02083,                0.00435,                0.00287,                    nan,                    nan,                    nan,              0.0010373,              0.0010373,              0.0010373
                     24,                    nan,                    nan,                    nan,                0.01116,                0.02083,                0.00419,                0.00277,                    nan,                    nan,                    nan,              0.0010276,              0.0010276,              0.0010276
                     25,                    nan,                    nan,                    nan,                0.01065,                0.02083,                0.00397,                0.00263,                    nan,                    nan,                    nan,               0.001018,               0.001018,               0.001018
                     26,                    nan,                    nan,                    nan,                0.01127,                0.02083,                0.00412,                0.00262,                    nan,                    nan,                    nan,              0.0010083,              0.0010083,              0.0010083
                     27,                    nan,                    nan,                    nan,                0.01111,                0.02083,                0.00407,                0.00268,                    nan,                    nan,                    nan,             0.00099863,             0.00099863,             0.00099863
                     28,                    nan,                    nan,                    nan,                0.01159,                0.02083,                0.00428,                0.00277,                    nan,                    nan,                    nan,             0.00098896,             0.00098896,             0.00098896
                     29,                    nan,                    nan,                    nan,                0.01052,                0.02083,                0.00432,                0.00284,                    nan,                    nan,                    nan,              0.0009793,              0.0009793,              0.0009793
                     30,                    nan,                    nan,                    nan,                0.01259,                0.02083,                0.00438,                0.00283,                    nan,                    nan,                    nan,             0.00096963,             0.00096963,             0.00096963
                     31,                    nan,                    nan,                    nan,                0.01167,                0.02083,                0.00424,                0.00265,                    nan,                    nan,                    nan,             0.00095996,             0.00095996,             0.00095996
                     32,                    nan,                    nan,                    nan,                 0.0116,                0.02083,                0.00423,                0.00265,                    nan,                    nan,                    nan,             0.00095029,             0.00095029,             0.00095029
                     33,                    nan,                    nan,                    nan,                0.01201,                0.02083,                0.00422,                0.00263,                    nan,                    nan,                    nan,             0.00094062,             0.00094062,             0.00094062
                     34,                    nan,                    nan,                    nan,                0.01365,                0.02778,                0.00402,                0.00261,                    nan,                    nan,                    nan,             0.00093096,             0.00093096,             0.00093096
                     35,                    nan,                    nan,                    nan,                0.01112,                0.02083,                0.00416,                 0.0027,                    nan,                    nan,                    nan,             0.00092129,             0.00092129,             0.00092129
                     36,                    nan,                    nan,                    nan,                0.01304,                0.02778,                0.00389,                0.00246,                    nan,                    nan,                    nan,             0.00091162,             0.00091162,             0.00091162
                     37,                    nan,                    nan,                    nan,                0.01315,                0.02778,                0.00404,                0.00264,                    nan,                    nan,                    nan,             0.00090195,             0.00090195,             0.00090195
                     38,                    nan,                    nan,                    nan,                0.01073,                0.02083,                0.00419,                0.00277,                    nan,                    nan,                    nan,             0.00089229,             0.00089229,             0.00089229
                     39,                    nan,                    nan,                    nan,                0.01068,                0.02083,                0.00422,                0.00276,                    nan,                    nan,                    nan,             0.00088262,             0.00088262,             0.00088262
                     40,                    nan,                    nan,                    nan,                0.01424,                0.02778,                0.00423,                0.00278,                    nan,                    nan,                    nan,             0.00087295,             0.00087295,             0.00087295
                     41,                    nan,                    nan,                    nan,                0.01064,                0.02083,                0.00419,                0.00271,                    nan,                    nan,                    nan,             0.00086328,             0.00086328,             0.00086328
                     42,                    nan,                    nan,                    nan,                0.01072,                0.02083,                0.00426,                0.00278,                    nan,                    nan,                    nan,             0.00085361,             0.00085361,             0.00085361
                     43,                    nan,                    nan,                    nan,                0.01073,                0.02083,                0.00398,                0.00262,                    nan,                    nan,                    nan,             0.00084395,             0.00084395,             0.00084395
                     44,                    nan,                    nan,                    nan,                0.01117,                0.02083,                0.00428,                0.00281,                    nan,                    nan,                    nan,             0.00083428,             0.00083428,             0.00083428
                     45,                    nan,                    nan,                    nan,                0.01002,                0.02083,                0.00412,                0.00272,                    nan,                    nan,                    nan,             0.00082461,             0.00082461,             0.00082461
                     46,                    nan,                    nan,                    nan,                0.01202,                0.02778,                0.00401,                0.00266,                    nan,                    nan,                    nan,             0.00081494,             0.00081494,             0.00081494
                     47,                    nan,                    nan,                    nan,                0.01062,                0.02083,                0.00415,                0.00276,                    nan,                    nan,                    nan,             0.00080527,             0.00080527,             0.00080527
                     48,                    nan,                    nan,                    nan,                0.01125,                0.02083,                0.00412,                0.00259,                    nan,                    nan,                    nan,             0.00079561,             0.00079561,             0.00079561
                     49,                    nan,                    nan,                    nan,                0.01256,                0.02083,                0.00428,                0.00277,                    nan,                    nan,                    nan,             0.00078594,             0.00078594,             0.00078594
                     50,                    nan,                    nan,                    nan,                0.01207,                0.02083,                 0.0043,                0.00277,                    nan,                    nan,                    nan,             0.00077627,             0.00077627,             0.00077627
                     51,                    nan,                    nan,                    nan,                0.01857,                0.02083,                0.00415,                0.00272,                    nan,                    nan,                    nan,              0.0007666,              0.0007666,              0.0007666
                     52,                    nan,                    nan,                    nan,                0.01925,                0.02083,                0.00417,                0.00274,                    nan,                    nan,                    nan,             0.00075693,             0.00075693,             0.00075693
                     53,                    nan,                    nan,                    nan,                0.01242,                0.02083,                0.00404,                0.00268,                    nan,                    nan,                    nan,             0.00074727,             0.00074727,             0.00074727
                     54,                    nan,                    nan,                    nan,                0.01225,                0.02083,                0.00413,                0.00262,                    nan,                    nan,                    nan,              0.0007376,              0.0007376,              0.0007376
                     55,                    nan,                    nan,                    nan,                 0.0109,                0.02083,                0.00426,                0.00271,                    nan,                    nan,                    nan,             0.00072793,             0.00072793,             0.00072793
